registry_game_id,original_title,english_title,normalized_original_title,normalized_english_title,first_seen_meeting_date,first_seen_report_period,first_seen_platform_classification,first_seen_brief_href,mobile_app_ids,steam_app_ids,known_platforms,publisher,developer,notes
game-12be54968af6,Palworld,Palworld,palworld,palworld,2026-07-21,,pc_only,proof-runs/2026-07-21/latest-brief.html,,1623730,"PC, Steam",Pocketpair,Pocketpair,
game-ee529b7ad97f,SpiritVale,SpiritVale,spiritvale,spiritvale,2026-07-21,,pc_only,proof-runs/2026-07-21/latest-brief.html,,3767850,"PC, Steam",Baikun Interactive,Baikun Interactive,
game-03b87233d302,Echoes of Aincrad,Echoes of Aincrad,echoes of aincrad,echoes of aincrad,2026-07-21,,pc_only,proof-runs/2026-07-21/latest-brief.html,,2244210,"PC, PlayStation 5, Steam, Xbox Series X|S",Bandai Namco Entertainment,Game Studio Inc.,
game-1398215e699b,CookieRun: Crumble - Idle RPG,CookieRun: Crumble - Idle RPG,cookierun crumble idle rpg,cookierun crumble idle rpg,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a41d8c2907e20afd94c5e13,,"Android, iOS",Devsisters,,
game-b1df343abe00,Blade Heroes: Mecha Soul,Blade Heroes: Mecha Soul,blade heroes mecha soul,blade heroes mecha soul,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a4b76a33ac802578231b11b,,"Android, iOS",Efun,,
game-16b0c5c574d0,Lordrush,Lordrush,lordrush,lordrush,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a5d96bd0dab2da9cc66228f,,"Android, iOS",Century Games,,
game-975ecee58882,Sephiria,Sephiria,sephiria,sephiria,2026-08-04,,pc_only,proof-runs/2026-08-04/latest-brief.html,,2436940,"PC, Steam",,,
game-13caae184ebd,神聖計劃：最終對決,Holy Project: The Final Showdown,神聖計劃 最終對決,holy project the final showdown,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,6a3349a814e4ba9a79b21bd1,,"Android, iOS",Jar Stars,,
game-943ea7ddbd59,Pirate Battle: Sea Adventure,Pirate Battle: Sea Adventure,pirate battle sea adventure,pirate battle sea adventure,2026-07-07,2026-06-23 to 2026-07-06,mobile_only,proof-runs/2026-07-07/latest-brief.html,69fafcc815c1de487531b451,,"Android, iOS",YUNZHU STUDIO,,
game-8c6ca336b606,世界之外,Beyond the World,世界之外,beyond the world,2026-07-21,2026-07-07 to 2026-07-20,mobile_only,proof-runs/2026-07-21/latest-brief.html,659814fd950aa45b13e69933,,"Android, iOS",NetEase,,
game-554e787045cc,NTE: Neverness to Everness,NTE: Neverness to Everness,nte neverness to everness,nte neverness to everness,2026-07-21,2026-07-07 to 2026-07-20,mobile_led_cross_platform,proof-runs/2026-07-21/latest-brief.html,6754593077;com.hottagames.nte,4508340,"Android, Steam, iOS",N2E,,
game-73d269a62a42,hololive Dreams,hololive Dreams,hololive dreams,hololive dreams,2026-08-04,2026-07-21 to 2026-08-01,mobile_led_cross_platform,proof-runs/2026-08-04/latest-brief.html,69a972123cbad61259070a72,4282500,"Android, Steam, iOS",CyberAgent,,
game-63f0f4c46043,Breathing Blade: Destiny,Breathing Blade: Destiny,breathing blade destiny,breathing blade destiny,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a5923f7e891fc995459802f,,"Android, iOS",晖杨娱乐,,
game-3f280c9426e2,天命：六道輪迴,Destiny: Six Realms of Reincarnation,天命 六道輪迴,destiny six realms of reincarnation,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a4bc5ba977abbfea24c5827,,"Android, iOS",SPGame,,
game-061196c1f588,諸天之上,Beyond the Heavens,諸天之上,beyond the heavens,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a50af21f08591ead857eeaa,,"Android, iOS",Doki Studio,,
game-d447796db957,箭神請息怒,"Archer God, Please Calm Down",箭神請息怒,archer god please calm down,2026-08-04,2026-07-21 to 2026-08-01,mobile_only,proof-runs/2026-08-04/latest-brief.html,6a3891a397443c9ffde3801d,,"Android, iOS",T Games,,
game-3ad84cdbd394,Pass the Fear,Pass the Fear,pass the fear,pass the fear,2026-08-04,,pc_only,proof-runs/2026-08-04/latest-brief.html,,3561220,"PC, Steam",,,
game-9413c080f815,DragonSword : Awakening,DragonSword : Awakening,dragonsword awakening,dragonsword awakening,2026-08-04,,pc_only,proof-runs/2026-08-04/latest-brief.html,,4570720,"PC, Steam",,,
game-43ea09f8bc8f,生存33天,Surviving for 33 days,生存33天,surviving for 33 days,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,694e50c60a1d560a893602e8,,"Android, iOS",37 Interactive Entertainment,,
game-27caf7e08cfe,猛鬼三國,猛鬼三國,猛鬼三國,猛鬼三國,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,6a5c61ace8e4606a8d3b26a9,,"Android, iOS",Sumlahung,,
game-aff6948cbc3d,JoJo's Bizarre Adventure: GS,JoJo's Bizarre Adventure: GS,jojo s bizarre adventure gs,jojo s bizarre adventure gs,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,6a054afa5481acd9e913d892,,"Android, iOS",Hoolai Game,,
game-b1c9c7371a21,亡靈別太狂：部落大作戰,亡靈別太狂：部落大作戰,亡靈別太狂 部落大作戰,亡靈別太狂 部落大作戰,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,6a68be982148e385d37ce73e,,"Android, iOS",Emin Lomturide,,
game-40bd69e73dc2,EZ PZ: Byte Heroes,EZ PZ: Byte Heroes,ez pz byte heroes,ez pz byte heroes,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,6a4725bae5f3ec108cfdee5e,,"Android, iOS",Shenzhen Qudong Digital Entertainment,,
game-748a992ba4b7,MAJO - Apocalypse Tactics RPG,MAJO - Apocalypse Tactics RPG,majo apocalypse tactics rpg,majo apocalypse tactics rpg,2026-08-18,2026-08-04 to 2026-08-17,mobile_only,proof-runs/2026-08-18/latest-brief.html,6a2a01d709b82ee0e573fefb,,"Android, iOS",Pinkcore (DarkWind),,
game-7682bef15bfd,Fields of Mistria,Fields of Mistria,fields of mistria,fields of mistria,2026-08-18,,pc_only,proof-runs/2026-08-18/latest-brief.html,,2142790,"PC, Steam",,,
game-138c940fa218,Survival Log,Survival Log,survival log,survival log,2026-08-18,,pc_only,proof-runs/2026-08-18/latest-brief.html,,4164790,"PC, Steam",,,
game-fe6ac4507c97,Sandustry,Sandustry,sandustry,sandustry,2026-08-18,,pc_only,proof-runs/2026-08-18/latest-brief.html,,2764460,"PC, Steam",,,
game-8960241480c4,Path of Idle: Old Gods Rising,Path of Idle: Old Gods Rising,path of idle old gods rising,path of idle old gods rising,2026-08-18,,pc_only,proof-runs/2026-08-18/latest-brief.html,,4243990,"PC, Steam",,,
