original_title,unified_id,detected_language_code,english_display_title
Pokémon TCG Pocket,66c292ff6bbfce0e306de36b,en,Pokémon TCG Pocket
Tasty Travels: Merge Game,65823471fc3fe50f8e2b14d9,en,Tasty Travels: Merge Game
EA SPORTS FC Mobile Soccer,5e8694de25186e479bf4dd24,en,EA SPORTS FC Mobile Soccer
Clash Royale,568a601402ac64a409000104,en,Clash Royale
Fishdom,55d93ce402ac645ad20bc510,uz,Fishdom
Disney Solitaire,674a32c22947b59eda621005,fr,Disney Solitaire
Honkai: Star Rail,63e5633fded9c9175b7fca1e,en,Honkai: Star Rail
无畏契约：源能行动,68382998ce4e480f8741dede,zh,Valorant: Operation Source
Love and Deepspace,654319170b276e064b329296,en,Love and Deepspace
Travel Town - Merge Adventure,5f09e992d871ea7bfa1d261b,en,Travel Town - Merge Adventure
Pixel Flow!,68a48438aeb6dfa16799a2cd,en,Pixel Flow!
Wuthering Waves - To Xuanfang,66040c0a8c85a01f5c48aa27,zh,Wuthering Waves - To Xuanfang
Total Battle: War Strategy,592a66af850abd359f007606,en,Total Battle: War Strategy
Evony,5869720d0211a6180f000ebc,en,Evony
Mobile Legends: Bang Bang,57955d280211a6718a000002,en,Mobile Legends: Bang Bang
GODDESS OF VICTORY: NIKKE,63170622b25c6147f60b9d89,en,GODDESS OF VICTORY: NIKKE
モンスターストライク,55d20e4902ac64ee730002fc,ja,Monster Strike
Lightning Link Casino Slots,5af02835c618f463caf068cb,en,Lightning Link Casino Slots
梦幻西游,55f8a14b02ac64a380000030,zh,Fantasy Westward Journey
Match Factory!,64ee5f07ca97153451fffc21,en,Match Factory!
Umamusume: Pretty Derby,6024d92ffc2aa03e6d63fad7,en,Umamusume: Pretty Derby
Dark War:Survival,6573c39d5c3b423d5d04560f,en,Dark War:Survival
Fate/Grand Order,55cbfcb4dfec96c24f007d6e,en,Fate/Grand Order
DRAGON BALL Z DOKKAN BATTLE,55c5342c02ac64f9c0002f34,en,DRAGON BALL Z DOKKAN BATTLE
Seaside Escape: Merge & Story,63492c69e87b39014950901d,en,Seaside Escape: Merge & Story
Hay Day,55c5022602ac64f9c0001f7c,vi,Hay Day
리니지M,59489784abc1c77041000b3f,ko,Lineage M
SDガンダム ジージェネレーション エターナル,67ac2440959d204d56f1933b,ja,SD Gundam G Generation Eternal
Puzzles & Survival,5f378fe871feeb730dbbc0fb,en,Puzzles & Survival
League of Legends: Wild Rift,5da680bb42fa0c4364eb64c8,en,League of Legends: Wild Rift
TopHeroes,63bd1e79e36abf4ca724dad2,en,TopHeroes
Candy Crush Soda Saga,55c5213e02ac64f9c0002957,en,Candy Crush Soda Saga
Merge Cooking,6219e63b0c6ad83301492f26,en,Merge Cooking
Jackpot Party - Casino Slots,55d20e3b02ac64ee73000055,en,Jackpot Party - Casino Slots
Minecraft: Play with Friends!,55c5020a02ac64f9c0001f62,en,Minecraft: Play with Friends!
Anipop ™,55d93de502ac645ad20eba65,en,Anipop ™
パズル＆ドラゴンズ,55d20e3a02ac64ee7300002f,ja,Puzzle & Dragons
Eggy Party: Trendy Party Game,627d771fd094ad7f9beb9d2c,en,Eggy Party: Trendy Party Game
Flambé: Merge & Cook,670f5ddf227ce80fad574613,fr,Flambé: Merge & Cook
DRAGON BALL LEGENDS,5ab1c8847215621610997528,en,DRAGON BALL LEGENDS
Arknights: Endfield,691fce659feb3ebb3a7900a3,en,Arknights: Endfield
Bingo Blitz - Bingo Games,55c5025102ac64f9c0001f98,en,Bingo Blitz - Bingo Games
心动小镇,6642839b70541dbb64f131be,zh,Heartbeat Town
地下城与勇士：起源,619f66c33c2bc563d96d12e6,zh,Dungeon Fighter Online: Origins
明日方舟,5cc77b053ea9835399d772d9,zh,Arknights
Cashman Casino Slots Games,5945b0784e7c854f2400a04e,en,Cashman Casino Slots Games
プロ野球スピリッツＡ,562832c602ac649e10000009,ja,Professional Baseball Spirits A
第五人格,5b2ba8cd8211f574a56c18fa,zh,Identity V
火影忍者,568e2cd802ac64cd21000153,zh,Naruto
Age of Origins:Tower Defense,5ba1a19def71a76da561ca41,en,Age of Origins:Tower Defense
Dice Dreams,5d65daa6ef4c60138afb64a6,en,Dice Dreams
Where Winds Meet,663c8be76018ac20a852f67b,en,Where Winds Meet
CrossFire: Legends,565ff9f502ac6459a0000035,en,CrossFire: Legends
RAID: Shadow Legends,5b3d92208c445c1388bd08a4,en,RAID: Shadow Legends
Rise of Kingdoms,5ac2bdddcfc03208313848db,en,Rise of Kingdoms
Zenless Zone Zero,6626a822a9cba85698402d6b,en,Zenless Zone Zero
My Garden Tale,6867593b74bb32631a5de0db,en,My Garden Tale
Merge Mansion: Mystery Puzzles,5eeb9aa938d7e54b44b09d79,en,Merge Mansion: Mystery Puzzles
The Battle Cats,55d20e4302ac64ee730001ff,en,The Battle Cats
Tiles Survive!,67d3aaff2c328ae8e547d0ef,en,Tiles Survive!
June's Journey: Hidden Objects,589a7f2d9ed8007709000591,en,June's Journey: Hidden Objects
洛克王国：世界,689fa13c149ba0850ef006a5,zh,Roco Kingdom: World
Matching Story - Merge & Match,60a71ab403e99e432644143c,en,Matching Story - Merge & Match
三国志·战略版,5d84173e3ea9835b8b1d4081,zh,Romance of the Three Kingdoms: Strategy Edition
All in Hole: Black Hole Games,649172466cb0390387c043a3,en,All in Hole: Black Hole Games
Magic Sort!,662dcccbf7baf07a73491020,en,Magic Sort!
Color Block Jam,667ffe9c6e98fe0d9e01f33a,en,Color Block Jam
Screwdom,677705e57c69d3f0f1d6207b,en,Screwdom
Hero Wars: Alliance Adventure,58a5031adcbd16685d00ba8f,en,Hero Wars: Alliance Adventure
Bingo Voyage: Live Bingo Games,641484dd02fbee78c17c735e,en,Bingo Voyage: Live Bingo Games
Jackpot World - Slots Casino,5af5afad09c8b14d4327867e,en,Jackpot World - Slots Casino
捕鱼大作战-街机打鱼游戏王者,5f4299e9ae80ae67397b509c,zh,Fishing Master - King of Arcade Fishing Games
Lotsa Slots - Casino Games,59eaa8b5a40b7408b727d581,en,Lotsa Slots - Casino Games
Mystery Town: Merge Games,6697ac96aa318ab3c8d162e7,en,Mystery Town: Merge Games
Cash Frenzy - Casino Slots,5c3ab0fa8e194353916d7359,en,Cash Frenzy - Casino Slots
Solitaire Grand Harvest,594990020211a674a00013c6,en,Solitaire Grand Harvest
Last Asylum: Plague,698d49af6297762a8f53c7c2,en,Last Asylum: Plague
Tomb Busters,669a9fcfa67db13660f40656,en,Tomb Busters
Project Makeover,5dd54f395c6ace4531c71a91,en,Project Makeover
ONE PIECE Bounty Rush,5a6fb03caab422755b81be78,en,ONE PIECE Bounty Rush
Sword x Staff,690166950fd1f55c72d8b80a,en,Sword x Staff
Quick Hit Casino - Vegas Slots,55fac6f202ac64c13c000081,en,Quick Hit Casino - Vegas Slots
Heart of Vegas - Casino Slots,55d93dd702ac645ad20e8f2b,en,Heart of Vegas - Casino Slots
Empires & Puzzles: Match-3 RPG,576fc77df7b5cc0861000419,en,Empires & Puzzles: Match-3 RPG
LINE：ディズニー ツムツム,55d2acec02ac64a768000014,ja,LINE: Disney Tsum Tsum
Domino Dreams,637ea0012ade4a0aeafad27b,en,Domino Dreams
DoubleDown™ Casino Vegas Slots,55c5021002ac64f9c0001f68,en,DoubleDown™ Casino Vegas Slots
Summoners War X Frieren,55c51de102ac64f9c0002861,de,Summoners War X Freeze
Knives Out,59fcb1bb0211a6e71e68ec28,en,Knives Out
Top Tycoon: Coin Theme Empire,6791b82215513bc76711b557,en,Top Tycoon: Coin Theme Empire
BangBang Survivor,65a1e8cd950aa41941ff9752,id,Bang Bang Survivor
Family Island Farming game,5d2fbde03d3ea51dfcb37ca0,en,Family Island Farming game
Slotomania Slots Casino Games,55c5020a02ac64f9c0001f66,en,Slotomania Slots Casino Games
Toy Blast,55c5328b02ac64f9c0002e8b,en,Toy Blast
Big Fish Casino: Slots Games,55c5026502ac64f9c0001fa0,en,Big Fish Casino: Slots Games
Triple Match City,62c5c7352971d30884177742,en,Triple Match City
Lands of Jail,66ea6074d5bd69b363a04011,en,Lands of Jail
Chess - Play & Learn Online,55c529c102ac64f9c0002bb9,en,Chess - Play & Learn Online
Top War: Battle Game,5cc98b703ea98357b8ed3ce0,en,Top War: Battle Game
OneState RP: Role Play Online,61baca90f25c2212f07213fb,en,OneState RP: Role Play Online
ドラゴンクエストウォーク 歩く楽しみが増える位置情報ゲーム,5d78729e3ea983061841e619,ja,Dragon Quest Walk: A location-based game that makes walking more enjoyable.
星城-歡慶77幸運日,55d93f8302ac645ad2137ccf,zh-Hant,Star City - Celebrating 77 Lucky Days
Diablo Immortal,62429cefb3ae2756c91a89ac,en,Diablo Immortal
NTE: Neverness to Everness,6986f9dbb94693e318f26ec6,el,NTE: Neverness to Everness
学園アイドルマスター,65e7034e26a2e50bef0798fb,ja,School Idolmaster
永远的蔚蓝星球-周杰伦代言,669df1f882bbdbdf9ca2565b,zh,Forever Blue Planet - Endorsed by Jay Chou
ブルーアーカイブ,60114f14603eea14fc95a334,ja,Blue Archive
Dragon Traveler,674a79386bf8b3554163cbf7,en,Dragon Traveler
三国：谋定天下,65d4f119594b7b3bfca111d1,zh,The Three Kingdoms: Strategizing to Conquer the World
Star Wars: Galaxy of Heroes,55ea2eb392e74c8309005260,en,Star Wars: Galaxy of Heroes
오딘: 발할라 라이징,67ecafa1183bfae373cf271b,ko,Odin: Valhalla Rising
X-Clash,685b7bc224b863a00e1e8689,en,X-Clash
Bingo Frenzy - Live Bingo Games,5c143d3cb094be69d2175c59,en,Bingo Frenzy - Live Bingo Games
Match Villains,660af7c66237390ce7c829fc,en,Match Villains
88 Fortunes™ Casino Slot Games,57d212275a304243dd001268,en,88 Fortunes™ Casino Slot Games
War Robots Multiplayer Battles,55c5240f02ac64f9c0002a31,en,War Robots Multiplayer Battles
NYT Games: Wordle & Crossword,55e504fd02ac644d84000001,en,NYT Games: Wordle & Crossword
Arena Breakout: Realistic FPS,624221e4aaeb833d98f8b149,en,Arena Breakout: Realistic FPS
逆水寒,640262d8d29202476a36baf3,zh,Justice Online
逆战：未来,69201d100a94acd115a07599,zh,Counter-Strike Online: Future
Lucky Defense,660bbeb2ad4adb4d3f849641,en,Lucky Defense
Match Masters,58e85a98aff33c77fd000a9f,en,Match Masters
WSOP Poker: Texas Holdem Game,55c506cf02ac64f9c000215e,en,WSOP Poker: Texas Holdem Game
Coin Master - Board Adventure,68754d7e92f5051be72b5f0d,en,Coin Master - Board Adventure
Marvel Contest of Champions,55c5329202ac64f9c0002e8f,en,Marvel Contest of Champions
Top Eleven Be a Soccer Manager,53782cb5830f78a33a00003d,en,Top Eleven Be a Soccer Manager
퍼즐 앤 카오스,62de0c3b6b819258d7a14d9a,ko,Puzzle & Chaos
腾讯欢乐斗地主,55d20e4302ac64ee730001ca,zh,Tencent Happy Landlords
Golf Clash - Golfing Simulator,57d606200211a6b57700019d,en,Golf Clash - Golfing Simulator
Foundation: Galactic Frontier,68702aaeb9de50fc5fc2b7da,en,Foundation: Galactic Frontier
CookieRun: Kingdom,5fc9f4068779e341690ecd7e,en,CookieRun: Kingdom
HATSUNE MIKU: COLORFUL STAGE!,6180f793f5de045560ea9725,en,HATSUNE MIKU: COLORFUL STAGE!
信長の野望 真戦,68ce1572afee140c7e73a7a7,ja,Nobunaga's Ambition: True War
Truck Star,66029cfcbd40f76228abacd0,en,Truck Star
Hunting Sniper,640a5ea0e6e9e765703210ec,en,Hunting Sniper
あんさんぶるスターズ！！Music,5e6a87133ea98330af9b46ed,ja,Ensemble Stars!! Music
8 Ball Pool,6478d3edb3ae272847ad30f8,en,8 Ball Pool
Lords Mobile: Kingdom Wars,567a0aee0f1225ea0e006fe9,en,Lords Mobile: Kingdom Wars
Pikmin Bloom,6178e7bfdb622901de5dd950,en,Pikmin Bloom
Hearthstone,55c51be002ac64f9c00027e7,en,Hearthstone
Arena of Valor,61a54e681800977bed4c561d,en,Arena of Valor
Archero 2,666c314e108dacfa113ea464,en,Archero 2
Farm Heroes Saga,55d3a1a802ac64350a000cde,en,Farm Heroes Saga
率土之滨,5626a06702ac6437f1000047,zh,Rise of Kingdoms
Angry Birds 2,55bc18e6f8e9a7d9e90001f2,en,Angry Birds 2
时尚百货城,694a294efcb595d0422b2426,zh,Fashion Department Store
Zynga Poker - Texas Holdem Game,55d20e3902ac64ee7300002b,en,Zynga Poker - Texas Holdem Game
七つの大罪 光と闇の交戦 : グラクロ,5ceb9d643ea983387c6c4f71,ja,The Seven Deadly Sins: Grand Cross
Animals & Coins Adventure Game,5e06ead15be87a5edb3a1682,en,Animals & Coins Adventure Game
Triple Match 3D,62136559e2630f229597e676,en,Triple Match 3D
Trickcal: Chibi Go,64f83ecd7c5fd05392de2bdb,en,Trickcal: Chibi Go
捕鱼大咖-畅爽3D街机捕鱼游戏,620cd34024d0a87ea53fe9f2,zh,Fishing Master - Enjoy a Thrilling 3D Arcade Fishing Game
Fortnite,5aaadaa79f479f794f3ef414,en,Fortnite
MapleStory M: Fantasy MMORPG,5a66ada6d2af065e99a21688,en,MapleStory M: Fantasy MMORPG
セルサバイバー - シューティングゲーム,68498ade43283a19eb2c5a85,ja,Cell Survivor - Shooting Game
Age of Empires Mobile,65d5c34346b00723e5e77ebd,en,Age of Empires Mobile
Sky: Children of the Light,5a4317be0211a64f063fcd20,en,Sky: Children of the Light
Jujutsu Kaisen Phantom Parade,649baa9762776938d01e3fa6,hi,Jujutsu Kaisen Phantom Parade
Palmon: Survival,672de7ae9f58310807db1d1a,eo,Palmon: Survival
Merge Dragons!,57d6bb900211a6b7290001a8,en,Merge Dragons!
Klondike Adventures: Farm Game,597969d42622e430fb0004dc,en,Klondike Adventures: Farm Game
Block Out! - Color Sort Puzzle,68dc4cb69e7c3b60f5ee369b,en,Block Out! - Color Sort Puzzle
Huuuge Casino 777 Slots Games,55f3733b02ac64eb8400006e,en,Huuuge Casino 777 Slots Games
Yarn Loop: Knit Puzzle,69213cce1fe0ce2b53a6bc9d,en,Yarn Loop: Knit Puzzle
Shadowverse: Worlds Beyond,67d2d7ff49bab02d9b46e857,en,Shadowverse: Worlds Beyond
Piggy Kingdom - Match 3 Games,63464f22629fae0d60ead649,en,Piggy Kingdom - Match 3 Games
Racing Master,646a8c0a1d7ec32ff4a5bd0c,en,Racing Master
LINE ポコポコ,55c528bc02ac64f9c0002b7a,ja,LINE Pokopoko
Jackpot Magic Slots & Casino,5723f74380df7b27a2003fa0,en,Jackpot Magic Slots & Casino
Carnival Tycoon: Coin Games,6322100abd16da6f1e6d7ec2,en,Carnival Tycoon: Coin Games
QQ炫舞,5aa867439f479f6be0f75395,zh,QQ Dance
State of Survival: Zombie War,5cf092a745e8be7323fffd0d,en,State of Survival: Zombie War
Dream League Soccer 2026,5deffb27b9ab945359f1ee9b,en,Dream League Soccer 2026
Solitaire Associations Journey,68b1f61343283a6b07a1d9a4,en,Solitaire Associations Journey
DoubleU Casino™ - Vegas Slots,55d20e5102ac64ee730004a7,en,DoubleU Casino™ - Vegas Slots
三国：冰河时代,6748812156916c433a3dfef4,zh,Three Kingdoms: Ice Age
ONE PIECE TREASURE CRUISE-RPG,55c521ef02ac64f9c0002985,en,ONE PIECE TREASURE CRUISE-RPG
마비노기 모바일,67a46f332761835433adfca8,ko,Mabinogi Mobile
Magic: The Gathering Arena,605bb7d32cfa1f2f928615b4,en,Magic: The Gathering Arena
Jackpot Master - Slots - Casino,60fb6ed2ea6f9e5e0737e01c,en,Jackpot Master - Slots - Casino
RO仙境傳説：世界之旅,684a4c28e9aaa20e932e4f5b,zh-Hant,Ragnarok Online: World Journey
Cash Club Casino - Vegas Slots,5fbc81f6f4e48945e77814ed,en,Cash Club Casino - Vegas Slots
ディズニー ツイステッドワンダーランド,5e54cd59daef984563946fbd,ja,Disney Twisted Wonderland
Castle Clashers!,687c3cff0e53ae62d10b242a,en,Castle Clashers!
SOL: enchant,69a8f53a1ef35d313af9b6b3,en,SOL: enchant
指尖四川麻将,5602716602ac6450f1000029,zh,Sichuan Mahjong at Your Fingertips
Gold Fish Casino Slots Games,55d20e5802ac64ee73000618,en,Gold Fish Casino Slots Games
メメントモリ,6268f19bdab74e13477282d5,ja,Memento Mori
アズールレーン,592624a80211a6bc10000064,ja,Azur Lane
QQ飞车,5a436fa30211a64e563fcdb8,zh,QQ Speed
Chaos Zero Nightmare,686ed232d14a46bab988b4c3,en,Chaos Zero Nightmare
Higgs Games Island,5cd5a780e15b6e090f77ac43,en,Higgs Games Island
War and Order,56aa0d4c9c5ad64b7000244c,en,War and Order
Invincible: Guarding the Globe,64b513f2c5ff011c96c12bb5,en,Invincible: Guarding the Globe
Pokémon Sleep,64b3d49432c4c106de15913b,en,Pokémon Sleep
鹅鸭杀,615d12e316368f69af832e76,zh,Goose and duck slaughter
Zombie Waves,633b886973f76b48784c36b9,en,Zombie Waves
遊戯王 マスターデュエル,61f25154b3ae273d7d51223f,ja,Yu-Gi-Oh! Master Duel
Cash Tornado™ Slots - Casino,5e293d315408ab749e612a3d,en,Cash Tornado™ Slots - Casino
雀魂 -じゃんたま-,5dddcbdcb9ab940cc19d3539,ja,Mahjong Soul -Jantama-
Frost & Flame: King of Avalon,573d973122cbf508c500071e,en,Frost & Flame: King of Avalon
Yalla Ludo - Ludo&Domino,5ba4734763d7166958ade99e,eo,Yalla Game - Game&Domino
三国杀,55d939e002ac645ad202c86a,zh,Three Kingdoms Kill
PanthiaMagical Merge Game,627ca63199cf860d501c880c,hi,Panthia Magical Merge Game
Infinity Nikki,66c59fa44e991f3c256828d9,en,Infinity Nikki
Marble Sort!,6902a4b667bda8ceb5519d46,en,Marble Sort!
The Grand Mafia,5d1ea639963ef80d91e0ec87,en,The Grand Mafia
JJ斗地主-专业棋牌合集,55d3a1a102ac64350a00082f,zh,JJ Dou Dizhu - A Professional Collection of Card Games
Doomsday × FAIRY TAIL,60f151ef6ffae745341f100f,en,Doomsday × FAIRY TAIL
鱼乐达人-王者捕鱼电玩街机打鱼游戏,63d81b4a41087b559d66f8d2,zh,Fish Master - King of Fishing Arcade Game
Sunday City: Life Simulator,65417198a0ba7354a2ae5bd9,en,Sunday City: Life Simulator
多乐够级,55d93e2002ac645ad20f6020,zh,Duole Gouji
Isekai:Slow Life,643e8044b3ae27797c328c29,en,Isekai:Slow Life
TopTop,5db2fa73d4a95322499d8b94,en,TopTop
세븐나이츠 리버스,67d1fdb4342e0834cbfc6120,ko,Seven Knights Rebirth
途游休闲捕鱼-百万倍街机王者大作战,61dc0b000ae2327624d5a947,zh,TuYou Casual Fishing - Million-Fold Arcade King Battle
Matchington Mansion,593841480211a63b60000a27,en,Matchington Mansion
House of Fun: Casino Slots,53782e84830f782dbe000053,en,House of Fun: Casino Slots
キングダム 覇道,68b4ff848df5ae57f25abf8b,ja,Kingdom: The Path of Conquest
Yahtzee® with Buddies Dice,59150925e4be78357f000005,lb,Yahtzee® with Buddies Dice
Limbus Company,63e1f070a4076914275702ae,en,Limbus Company
Guns of Glory,59a71013ed698535fafe4c3e,en,Guns of Glory
Texas Hold'em Poker: Pokerist,55c502b302ac64f9c0001fdb,en,Texas Hold'em Poker: Pokerist
Sand Loop,68f32c0227e2c1cde8a86e6a,en,Sand Loop
Watcher of Realms,67ec0bf3e540b65904256cc4,en,Watcher of Realms
BATTLEGROUNDS MOBILE INDIA,68abcc5727e2c12d3983fc28,en,BATTLEGROUNDS MOBILE INDIA
MARVEL Strike Force: Squad RPG,5a1417220211a63c3f58b18b,en,MARVEL Strike Force: Squad RPG
Warpath: Ace Shooter,5f64385428bb87713255c25e,en,Warpath: Ace Shooter
ドラゴンクエストスマッシュグロウ ドラクエローグライトRPG,69b8771bd151f5c5bbd28f6b,ja,Dragon Quest Smash Grow: Dragon Quest Rogue Lite RPG
Design Home: House Makeover,578c96820211a6b097000054,en,Design Home: House Makeover
협타디: 협동 타워 디펜스,660dff47d4e03e76a49f832f,ko,Cooperative Tower Defense
重返未来：1999,64356046b1ed80042094cf02,zh,Back to the Future: 1999
Gecko Out,67d61d6845ea3db694554f49,en,Gecko Out
Survivor!.io,5f54b4372cfa1f55af5fe93c,en,Survivor!.io
マフィア・シティ-極道風雲,58bcde8f0211a6f6ab000570,ja,Mafia City - Yakuza Storm
Legend of Mushroom,6539d116d2e5a9284e6a76e2,en,Legend of Mushroom
Hollywood Merge,689cf0b943283aa381362c1e,en,Hollywood Merge
Tiki Solitaire TriPeaks,55c525bf02ac64f9c0002a94,et,Tiki Solitaire TriPeaks
#コンパス【戦闘摂理解析システム】,58545be50211a605840000fc,ja,#Compass [Battle Comprehension Analysis System]
麻將明星3缺1,55c51f0a02ac64f9c00028b9,zh-Hant,Mahjong Stars 3 Missing 1
EA SPORTS FC Online M,5b220c230e64c70b3e4d02d4,en,EA SPORTS FC Online M
Monster Hunter Now,64a95779c9c8441632c24e84,en,Monster Hunter Now
Pokémon Masters EX,5d37c2fae7eb11276c294c8d,en,Pokémon Masters EX
EA SPORTS FC 25 Companion,57e2f23c2eba757f99002b66,en,EA SPORTS FC 25 Companion
POP! Slots™,5672398402ac6434d3000042,en,POP! Slots™
컴투스프로야구V26,621ccf2a10fff9181a966adc,ko,Com2uS Pro Baseball V26
UNO!,5a72671d0dc0bc69efd2cad4,it,A!
뱀피르,684a94438f435f8208de240d,ko,Vampire
阴阳师,57c849e30211a64c2500005c,zh,Onmyoji
放置少女 - 百花繚乱の萌姫たち,58d539010211a624c2000d95,ja,Idle Girls - A Hundred Flowers Blooming with Moe Princesses
"Warhammer 40,000: Tacticus",61554e1668e29d31179bb099,en,"Warhammer 40,000: Tacticus"
Goodville: Farm Game Adventure,5e7d57eb6f86e65284e8b783,en,Goodville: Farm Game Adventure
Mighty Fu Casino: Slots Game,5a0c75d80211a64a3f5963fc,en,Mighty Fu Casino: Slots Game
途游斗地主（比赛版）,5e873aa8fb7f1834202f5531,zh,TuYou Dou Dizhu (Competition Version)
Slotpark Casino Slots Games,54b443f0e9402ef8920039b3,af,Slotpark Casino Slots Games
Rummy - Fun & Friends,6470fe4f4174340dedf7b2c8,en,Rummy - Fun & Friends
Wizardry Variants Daphne,66bf752fae3b4b8109afef6e,en,Wizardry Variants Daphne
Rise of Castles: Ice and Fire,5b5a6814befb8213d010b9d5,en,Rise of Castles: Ice and Fire
Infinity Kingdom,612646501d26b56e14e08ba8,en,Infinity Kingdom
グランブルーファンタジー,55d20e5402ac64ee73000528,ja,Granblue Fantasy
AION2,68c3d7ec91ec021cb910771c,haw,AION2
美职篮全明星,677d731e92ac455e19985cb0,zh,NBA All-Star
BrownDust2 - Full Burst RPG,63bcd1a4b4bac82834c85cba,en,BrownDust2 - Full Burst RPG
The Sims FreePlay,55c5089f02ac64f9c00021eb,en,The Sims FreePlay
GIRLS' FRONTLINE 2: EXILIUM,64c3c6780078dc01f8d184c3,la,GIRLS' FRONTLINE 2: EXILE
BLEACH: Soul Resonance,68e85f7dc279e70adf9b7307,en,BLEACH: Soul Resonance
Fire Emblem Heroes,58935c5b0211a6ef4800053e,en,Fire Emblem Heroes
Seekers Notes: Hidden Objects,55d940c102ac645ad2174087,en,Seekers Notes: Hidden Objects
Call of Dragons,62f32a5044136e0eba10c9ba,en,Call of Dragons
Light and Night,609e749d8419372fb196fe72,en,Light and Night
Star Trek Fleet Command,5ba4585f539ce75b97db6bcb,en,Star Trek Fleet Command
Phase 10: Casual Card Game,5d02f9399dc2fc3a26c5bdce,en,Phase 10: Casual Card Game
한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,5f598d254f44e614961800d8,ko,"Hangame Poker Classic: 7-Poker, Hold'em, Seotda, Hoola, Slots"
World of Tanks Blitz,5a326b350211a692f66bab0e,en,World of Tanks Blitz
GoldenHoYeah Slots-Slots Games,5622fcd702ac641c8800003a,en,GoldenHoYeah Slots-Slots Games
MLB 9 Innings 26,57e32d8ecee89e0b9300000d,en,MLB 9 Innings 26
eFootball CHAMPION SQUADS,59f6a5e441bf253330f9bc36,en,eFootball CHAMPION SQUADS
한게임 포커,55d9589402ac645ad22f9717,ko,Hangame Poker
Top Girl,672b2077e986df6c4b8472f7,en,Top Girl
King's Choice,5fdd5ba1291123770f491fa7,en,King's Choice
Pocket Champs: 3D Racing Games,6018e252a20eb478caded72b,en,Pocket Champs: 3D Racing Games
스톤에이지 키우기,68521355de66709d0b3976e6,ko,Raising Stone Age
Happy Screw Trip 3D,6836733deabd2582032fa97a,en,Happy Screw Trip 3D
CSR 2 - Realistic Drag Racing,564de76e60f6f121ca0006ee,en,CSR 2 - Realistic Drag Racing
Backgammon - Lord of the Board,57c603590211a614e8000b71,en,Backgammon - Lord of the Board
Ludo STAR,58b38a718f1ec575d700831a,eo,Game STAR
Forge Master,68b17378c695b4f02b70bbc4,en,Forge Master
Blood Strike - FPS for all,632a97f340beda634f1cbe50,en,Blood Strike - FPS for all
信長の野望 覇道,63611fe83e8a632dd57b17de,ja,Nobunaga's Ambition: Hadou
Last Day on Earth: Survival,59262cb0eff03f3b8b00005c,en,Last Day on Earth: Survival
倩女幽魂,573403c50211a6cba9000537,zh,A Chinese Ghost Story
P5X ペルソナ５: The Phantom X,65b99e49950aa42438be4719,ja,P5X Persona 5: The Phantom X
Sea of Conquest: Pirate War,64e46cf3c39fd85da09c36cf,en,Sea of Conquest: Pirate War
Caesars Slots - Casino Games,55c5061302ac64f9c000211f,en,Caesars Slots - Casino Games
Tile Family:Match Puzzle Game,6328e648ad4adb11ddafbf46,en,Tile Family:Match Puzzle Game
東京ディバンカー,65cd23e24c836b77327c84e9,ja,Tokyo Divanker
Billionaire Casino Slots 777,580a5f680211a61c160000f9,en,Billionaire Casino Slots 777
Game of Thrones Slots Casino,5ca5e0755c6ace4340e65ed0,en,Game of Thrones Slots Casino
