report_name,genre,genre_source_url,publisher,publisher_source_url,comparable_game,comparison_reason,comparison_source_url,mobile_storefront_url
Palworld,Open World; Survival; Creature Collection,https://www.pocketpair.jp/palworld,Pocketpair,https://store.steampowered.com/app/1623730/,ARK: Survival Evolved,"Both combine open-world survival, creature collection, base building, and resource gathering.",https://store.steampowered.com/app/346110/ARK_Survival_Evolved/
Pass the Fear,Roguelite; Bullet Hell; Shooter,https://store.steampowered.com/app/3561220/Pass_the_Fear/,Paras Games,https://store.steampowered.com/app/3561220/Pass_the_Fear/,Vampire Survivors,"Both combine projectile-heavy survival combat with run-based upgrades and roguelite progression.",https://store.steampowered.com/app/1794680/Vampire_Survivors/
Path of Idle: Old Gods Rising,Idle RPG; RPG; Strategy,https://store.steampowered.com/app/4243990/,Small Mill,https://store.steampowered.com/app/4243990/,AFK Arena,"Both use low-input progression, party composition, automated battles, and long-term upgrades.",https://play.google.com/store/apps/details?id=com.lilithgames.hgame.gp
Ragnarok: The New World,MMORPG; Open World; RPG,https://store.steampowered.com/app/4212480/,Gravity Game Vision,https://store.steampowered.com/app/4212480/,Black Desert Mobile,"Both are open-world MMORPGs built around class growth, exploration, combat, and social progression.",https://play.google.com/store/apps/details?id=com.pearlabyss.blackdesertm.gl,https://apps.apple.com/id/app/ragnarok-the-new-world/id6754275005
Sandustry,Simulation; Resource Management; Strategy,https://store.steampowered.com/app/2764460/,Hooded Horse,https://store.steampowered.com/app/2764460/,Factorio,"Both focus on resource extraction, production chains, automation, and expanding industrial systems.",https://store.steampowered.com/app/427520/Factorio/
Sephiria,Action; Roguelite; RPG,https://sephiria.org/,TEAM HORAY,https://store.steampowered.com/app/2436940/,Hades,"Both use fast top-down action, repeat runs, build choices, and persistent progression.",https://store.steampowered.com/app/1145360/Hades/
SpiritVale,MMORPG; Action RPG; RPG,https://store.steampowered.com/app/3767850/SpiritVale/,Baikun Interactive,https://store.steampowered.com/app/3767850/,Guild Wars 2,"Both use class-based online RPG progression, combat, dungeons, and persistent world activities.",https://www.guildwars2.com/en/
Star Sailors,RPG; Turn-Based Strategy,https://holdings.com2us.com/en/main/game-detail/starsailors,Com2uS Holdings,https://holdings.com2us.com/en/main/game-detail/starsailors,Honkai: Star Rail,"Both use turn-based party combat, character collection, and progression through a narrative RPG structure.",https://hsr.hoyoverse.com/en-us/
Survival Log,Survival; Resource Management; Simulation,https://store.steampowered.com/app/4164790/,Lilith Games,https://store.steampowered.com/app/4164790/,This War of Mine,"Both focus on survival decisions, scarce resources, shelter management, and repeat pressure in a hostile setting.",https://store.steampowered.com/app/282070/This_War_of_Mine/
Surviving for 33 days,Idle RPG; Card RPG; Survival,https://survive33days.37.com.cn/article,37 Interactive Entertainment,https://survive33days.37.com.cn/article,Whiteout Survival,"Both combine post-apocalyptic survival framing with idle progression, team building, and resource management.",https://play.google.com/store/apps/details?id=com.gof.global,https://play.google.com/store/apps/details?id=com.tg.sc33t.tw
Undead Tribe: Battle,Tower Defense; RPG; Strategy,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,Emin Lomturide,https://apps.apple.com/tw/app/%E4%BA%A1%E9%9D%88%E5%88%A5%E5%A4%AA%E7%8B%82-%E9%83%A8%E8%90%BD%E5%A4%A7%E4%BD%9C%E6%88%B0/id6762179843,Bloons TD 6,"Both use defensive placement, wave management, and unit upgrades to stop escalating enemy attacks.",https://store.steampowered.com/app/960090/Bloons_TD_6/
hololive Dreams,Music/Rhythm; RPG,https://www.hololive-dreams.com/en/news/detail/aku8rsuo9,QualiArts; COVER Corporation,https://www.hololive-dreams.com/en/news/detail/aku8rsuo9,Project SEKAI: Colorful Stage!,"Both combine music or rhythm play with collectible characters and progression systems.",https://play.google.com/store/apps/details?id=com.sega.pjsekai
